,cov_max_shift,cov_max,cov_max_timestamp
20160906130000,-187,-273.9207981561513,2016-09-06 13:00:09.349956713
20160906131500,-162,-285.177214207088,2016-09-06 13:15:08.145795621
20160906133000,-177,-249.0337244908528,2016-09-06 13:30:08.891625502
20160906134500,-180,-279.3590761721468,2016-09-06 13:45:09.037458160
20160906140000,-213,-378.6095692005696,2016-09-06 14:00:10.683283874
20160906141500,-195,-290.50369154674314,2016-09-06 14:15:09.779121393
20160906143000,-112,-362.49227122812476,2016-09-06 14:30:05.624973958
20160906144500,-180,-306.26107701891334,2016-09-06 14:45:09.020791570
20160906150000,-165,-311.2546985217338,2016-09-06 15:00:08.266628395
20160906151500,-176,-126.02183902100126,2016-09-06 15:15:08.812459202
20160906153000,-184,-278.45321281633545,2016-09-06 15:30:09.208290702
20160906154500,-177,-114.53832207391427,2016-09-06 15:45:08.854125675
20160906160000,-251,-195.23094082592013,2016-09-06 16:00:12.549941898
20160906161500,-187,-207.40621989833775,2016-09-06 16:15:09.395789834
20160906163000,-191,-119.23396056283819,2016-09-06 16:30:09.591622261
20160906164500,-168,-138.26642967737743,2016-09-06 16:45:08.437460938
20160906170000,148,-108.84927663861222,NaT
20160906171500,-46,-150.28643824712097,2016-09-06 17:15:02.329155884
20160906173000,200,-75.09963052122104,NaT
20160906174500,-288,-97.00232302873945,2016-09-06 17:45:14.420766571
20160906180000,87,-76.44770297109588,NaT
20160906181500,271,-255.75443061229535,NaT
20160906183000,-240,137.3608472824687,2016-09-06 18:30:12.008277738
20160906184500,-296,108.03208475533015,2016-09-06 18:45:14.804098129
20160906190000,-284,119.20020794902622,2016-09-06 19:00:14.199934260
20160906191500,-176,115.74278169870244,2016-09-06 19:15:08.845792381
20160906193000,-300,200.2526241670179,2016-09-06 19:30:15.041597030
20160906194500,158,-27.032748955625383,NaT
20160906200000,-289,79.17071857286302,2016-09-06 20:00:14.483266281
20160906201500,-187,121.77071499222504,2016-09-06 20:15:09.379123245
20160906203000,-186,26.761667458973502,2016-09-06 20:30:09.324956829
20160906204500,-300,-124.86314808802196,2016-09-06 20:45:15.020763793
20160906210000,224,-27.776030623243955,NaT
20160906211500,282,90.80984511484395,NaT
20160906213000,246,33.182686583795004,NaT
20160906214500,-168,59.639484171883666,2016-09-06 21:45:08.404127759
20160906220000,261,-138.4259924699947,NaT
20160906221500,85,-71.66287817236976,NaT
20160906223000,-136,916.0717064985326,2016-09-06 22:30:06.841634992
20160906224500,-273,280.7521943961669,2016-09-06 22:45:13.687436632
20160906230000,-120,172.38177670475685,2016-09-06 23:00:06.033305401
20160906231500,-183,119.4246403311321,2016-09-06 23:15:09.179124171
20160906233000,240,-114.201706295352,NaT
20160906234500,29,-171.857264589859,NaT
20160907000000,110,128.22621254554588,NaT
20160907001500,-114,30.712905000933265,2016-09-07 00:15:05.712473553
20160907003000,299,69.57801256455792,NaT
20160907004500,182,-102.75242764098887,NaT
20160907010000,299,-97.58868776477642,NaT
20160907011500,-261,-70.34294493530317,2016-09-07 01:15:13.095772705
20160907013000,-280,127.17276285869693,2016-09-07 01:30:14.041601659
20160907014500,292,-150.20604711957137,NaT
20160907020000,-229,89.93282710816115,2016-09-07 02:00:11.483280170
20160907021500,-114,116.81092766142271,2016-09-07 02:15:05.729140143
20160907023000,119,-67.57904526277778,NaT
20160907024500,-296,42.277993022775746,2016-09-07 02:45:14.820764719
20160907030000,186,-122.16441099498434,NaT
20160907031500,-187,262.8704134166629,2016-09-07 03:15:09.362456655
20160907033000,-94,-93.0422029369271,2016-09-07 03:30:04.708311536
20160907034500,-220,108.13576891223065,2016-09-07 03:45:11.004115721
20160907040000,193,-188.27582804901888,NaT
20160907041500,-245,139.33595091676,2016-09-07 04:15:12.295776408
20160907043000,-260,-347.1041012817846,2016-09-07 04:30:13.041606289
20160907044500,-188,108.23579131267073,2016-09-07 04:45:09.437456308
20160907050000,298,-192.32411991651534,NaT
20160907051500,221,-468.5298046689975,NaT
20160907053000,-160,104.11000804196986,2016-09-07 05:30:08.024962847
20160907054500,114,-97.14894870620422,NaT
20160907060000,-198,82.79279719235441,2016-09-07 06:00:09.916620756
20160907061500,-278,-68.16616093176117,2016-09-07 06:15:13.912435591
20160907063000,-22,85.61558331288924,2016-09-07 06:30:01.108328202
20160907064500,287,69.3810130353537,NaT
20160907070000,226,-62.73047962486241,NaT
20160907071500,-180,53.34941149724495,2016-09-07 07:15:09.045791455
20160907073000,283,-88.33728229232638,NaT
20160907074500,176,-208.51603856773798,NaT
20160907080000,182,-87.2268617566659,NaT
20160907081500,-138,-30.711197125106683,2016-09-07 08:15:06.929134587
20160907083000,-170,-40.9294021005758,2016-09-07 08:30:08.524960533
20160907084500,-183,-70.02203857260946,2016-09-07 08:45:09.170790876
20160907090000,-177,-35.01485580221244,2016-09-07 09:00:08.866625617
20160907091500,-187,-167.8315272649415,2016-09-07 09:15:09.362456655
20160907093000,-169,-147.75904748016018,2016-09-07 09:30:08.458294175
20160907094500,-187,-140.46826700419007,2016-09-07 09:45:09.354123361
20160907100000,-178,-217.13097631739146,2016-09-07 10:00:08.899958796
20160907101500,-177,-210.70106216264378,2016-09-07 10:15:08.895792149
20160907103000,-163,-107.5985311753803,2016-09-07 10:30:08.191628742
20160907104500,-174,-94.34785981311138,2016-09-07 10:45:08.737459549
20160907110000,-189,-232.9104750165303,2016-09-07 11:00:09.483289429
20160907111500,-178,-158.99411499719218,2016-09-07 11:15:08.929125328
20160907113000,-174,-191.02747391009513,2016-09-07 11:30:08.724959607
20160907114500,-191,-241.23504699238066,2016-09-07 11:45:09.570789024
20160907120000,-179,-89.5251438428016,2016-09-07 12:00:08.966625155
20160907121500,-185,-182.9694522699444,2016-09-07 12:15:09.262457118
20160907123000,-213,-190.3202303066769,2016-09-07 12:30:10.658283989
20160907124500,-172,-133.68159033595776,2016-09-07 12:45:08.604126833
20160907130000,-177,-140.4483571507972,2016-09-07 13:00:08.849979514
20160907131500,-175,-113.55809337016812,2016-09-07 13:15:08.797896301
20160907133000,-173,-143.30437187702253,2016-09-07 13:30:08.695813204
20160907134500,-185,-107.31543040239161,2016-09-07 13:45:09.293728487
20160907140000,-183,-208.36162288310183,2016-09-07 14:00:09.191645390
20160907141500,-181,-190.30843389954734,2016-09-07 14:15:09.089562293
20160907143000,-192,-126.01446203592255,2016-09-07 14:30:09.637477691
20160907144500,-182,-234.77125043169937,2016-09-07 14:45:09.135395520
20160907150000,-182,-171.78219070193532,2016-09-07 15:00:09.133312191
20160907151500,-181,-125.4828065368058,2016-09-07 15:15:09.081228979
20160907153000,-181,-173.02450277922918,2016-09-07 15:30:09.079145650
20160907154500,-183,-148.48883422679216,2016-09-07 15:45:09.177062090
20160907160000,-184,-123.93739040613939,2016-09-07 16:00:09.224978646
20160907161500,-196,-100.60834767413377,2016-09-07 16:15:09.822893928
20160907163000,-211,-67.95986754624793,2016-09-07 16:30:10.570808864
20160907164500,-233,-62.749510349163835,2016-09-07 16:45:11.668722989
20160907170000,-225,-116.20925635851404,2016-09-07 17:00:11.266640586
20160907171500,-186,-73.97947516377,2016-09-07 17:15:09.314561772
20160907173000,-189,47.41628462686871,2016-09-07 17:30:09.462478096
20160907174500,292,-22.963216451202065,NaT
20160907180000,-201,30.53769254446478,2016-09-07 18:00:10.058310050
20160907181500,-180,28.830670990494273,2016-09-07 18:15:09.006229152
20160907183000,287,-33.53071705813025,NaT
20160907184500,183,23.70708079876826,NaT
20160907190000,13,4.2074843607458075,NaT
20160907191500,-163,-12.657188391959947,2016-09-07 19:15:08.195795390
20160907193000,299,7.722897518697858,NaT
20160907194500,-297,-122.68174878280634,2016-09-07 19:45:14.887431077
20160907200000,-192,-14.659879722419998,2016-09-07 20:00:09.633288735
20160907201500,246,-128.93611130210198,NaT
20160907203000,-200,93.3308887976207,2016-09-07 20:30:10.024953588
20160907204500,-62,-185.09436244356334,2016-09-07 20:45:03.120818885
20160907210000,274,-150.10003058463533,NaT
20160907211500,265,-97.03992960193564,NaT
20160907213000,165,-73.12277624693424,NaT
20160907214500,64,-64.91680591671309,NaT
20160907220000,272,-170.0962777836814,NaT
20160907221500,251,-585.629258785916,NaT
20160907223000,223,-142.73903327580152,NaT
20160907224500,156,-211.94369923083732,NaT
20160907230000,299,-184.64980494453192,NaT
20160907231500,35,-222.21210499191088,NaT
20160907233000,90,-94.75397541858223,NaT
20160907234500,5,-124.25818879305943,NaT
20160908000000,17,-295.40204584442125,NaT
20160908001500,127,-329.6974827753994,NaT
20160908003000,-106,48.04454734107476,2016-09-08 00:30:05.308308758
20160908004500,208,-223.29165850787078,NaT
